sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.17226354580190303,0.0,57.56151046603918,58.539664085419844,5.678239205092791,0.0,3,0,0,10.0,810.0,0.0,85.0,7192.307184060152,7192.306050485881,0.0,277.58502383925213,7716.004266845245,10789.663989104894,5394.831994552447,1.5031394358097223,101,11,0,4524.7614881890095,6037.520267761131,10562.281755950142,2315.348404095739,2315.348404095739,0.03794797881015894,0.05681767776456989,0.0,0.0,3.4696980684923124,0.7605894323972309,0.42838863729800014
1,10.0,10.0,0.172263545801903,0.16949319694946413,0.0,58.539664085419844,59.4591722098397,5.425044432278992,0.0,3,0,0,9.995,809.995,5.740148088028609e-05,85.07887094353262,7072.126239724506,7072.128042892421,0.0,283.05827091047087,7889.325338993361,10981.226055038029,5490.613027519014,1.50073812333144,101,11,0,4681.011717699512,6246.202209581877,10927.213927281387,2394.8091038902126,2394.8091038902126,0.037862531651577144,0.05672371703687587,0.0,0.0,3.470621819503047,0.7606217636826066,0.4283810812939867
2,20.0,10.0,0.34175674275136714,0.16696598678092434,0.0,59.4591722098397,60.32570365378125,5.189868072223112,0.0,3,0,0,9.99,809.99,0.00011590143004693785,85.15930715416958,6962.760420839593,6962.7609099389465,0.0,288.2889695028779,8054.503741562269,11164.760891962922,5582.380445981461,1.4984986031974634,101,11,0,4830.335716472269,6445.640483552924,11275.976200025194,2470.730211516717,2470.730211516717,0.0377811216955087,0.056633718970246966,0.0,0.0,3.4714805195536402,0.7606518181843773,0.4283740609936261
3,30.0,10.0,0.5087227295322914,0.16464996268834037,0.0,60.32570365378125,61.14410826386393,4.970572702963841,0.0,3,0,0,9.985,809.985,0.00017545179777941317,85.24122347349584,6862.746740977163,6862.7463075443175,0.0,293.29420352069565,8212.17195369235,11340.77494768736,5670.38747384368,1.4964047164574672,101,11,0,4973.22166781403,6636.485833315679,11609.70750112971,2543.363206646301,2543.363206646301,0.037703432776024386,0.05654743042642668,0.0,0.0,3.4722803672603733,0.760679812854113,0.4283675249639235
4,40.0,10.0,0.6733726922206318,0.16251880452402118,0.0,61.14410826386393,61.91857398127828,4.765391424595919,0.0,3,0,0,9.98,809.98,0.00023600774892627776,85.32454037518089,6770.890560055555,6770.889489685686,0.0,298.089044196033,8362.879901445109,11509.723044957089,5754.861522478544,1.4944425006372906,101,11,0,5110.100215136292,6819.312364265906,11929.412579402197,2612.9297697653196,2612.9297697653196,0.03762919017996257,0.056464624347712836,0.0,0.0,3.4730267403709494,0.7607059359129832,0.42836142862219356
5,50.0,10.0,0.8358914967446529,0.16055059791234486,0.0,61.91857398127828,62.65274658720267,4.5728425522602265,0.0,3,0,0,9.975,809.975,0.0002975272943879117,85.40918333306344,6686.201991800197,6686.200494946431,0.0,302.6868985907964,8507.11068063332,11672.015892086443,5836.007946043222,1.4925997969789586,101,11,0,5241.3544259680675,6994.630813001696,12235.985238969763,2679.6269469424233,2679.6269469424233,0.03755815274974341,0.056385095947243356,0.0,0.0,3.4737243439846397,0.7607303520394624,0.4283557329960767
6,60.0,10.0,0.9964420946569976,0.15872692174697153,0.0,62.65274658720267,63.34982298245254,4.391670849391789,0.0,3,0,0,9.97,809.97,0.0003599710026121192,85.49508232447181,6607.8525404569755,6607.850773529582,0.0,307.0997776293144,8645.292187787287,11828.026320833675,5914.013160416837,1.4908659446789396,101,11,0,5367.32745571911,7162.898752401852,12530.226208120963,2743.6311249457935,2743.6311249457935,0.03749010703725114,0.05630865954354768,0.0,0.0,3.474377323158919,0.7607532063105621,0.42835040378125755
7,70.0,10.0,1.1551690164039692,0.1570321578057029,0.0,63.34982298245254,64.01262480831242,4.220803147085189,0.0,3,0,0,9.965,809.965,0.0004233017537368153,85.58217140615723,6535.142517181859,6535.140597230637,0.0,311.3385088852756,8777.80620036973,11978.094391981977,5989.047195990988,1.4892315385249837,101,11,0,5488.328631859635,7324.528693242072,12812.857325101708,2805.1011872677286,2805.1011872677286,0.03742486273914098,0.056235145970449846,0.0,0.0,3.4749893517329546,0.7607746273106534,0.4283454105984177
8,80.0,10.0,1.312201174209672,0.1554529610329151,0.0,64.01262480831242,64.64365724066873,4.059314329964354,0.0,3,0,0,9.96,809.96,0.0004874845282321651,85.67038834904181,6467.476193956336,6467.4742090288355,0.0,315.41290765931365,8904.995564598803,12122.531612688776,6061.265806344388,1.4876882345981095,101,11,0,5604.638345523632,7479.894597763947,13084.532943287579,2864.1810515990937,2864.1810515990937,0.03736224908307366,0.05616440043828049,0.0,0.0,3.475563703348267,0.7607947296171893,0.42834072639931986
9,90.0,10.0,1.4676541352425871,0.15397784791588429,0.0,64.64365724066873,65.2451564471657,3.9064009183032793,0.0,3,0,0,9.955,809.955,0.0005524862237570492,85.75967432112749,6404.34260513823,6404.340621674227,0.0,319.33191609832744,9027.169956683187,12261.624449871977,6130.8122249359885,1.4862285929014931,101,11,0,5716.512029327714,7629.337176477449,13345.849205805163,2921.0017332555703,2921.0017332555703,0.03730211193098548,0.05609628075275344,0.0,0.0,3.476103308929072,0.7608136158125175,0.4283363269863076
10,100.0,10.0,1.6216319831584713,0.15259687292844323,0.0,65.2451564471657,65.8191282670993,3.7613603012870955,0.0,3,0,0,9.95,809.95,0.0006182754953197565,85.84997361023596,6345.300533964241,6345.298602130711,0.0,323.10371749964105,9144.610553009901,12395.637280299503,6197.818640149751,1.4848459487024241,101,11,0,5824.18342563719,7773.168240172213,13597.351665809403,2975.683040437117,2975.683040437117,0.037244311430868406,0.05603065582002329,0.0,0.0,3.476610803715471,0.7608313781300414,0.42833219061930444
11,110.0,10.0,1.7742288560869146,0.15130137151986747,0.0,65.8191282670993,66.36738001827858,3.6235742324866806,0.0,3,0,0,9.945,809.945,0.0006848226148624889,85.94123337999036,6289.96664293003,6289.9648005053305,0.0,326.7358311124501,9257.573854941096,12524.814885888913,6262.407442944456,1.483534306446489,101,11,0,5927.867297172881,7911.674309407127,13839.54160658001,3028.334980086155,3028.334980086155,0.03718872009364903,0.05596740438278357,0.0,0.0,3.477088566130673,0.7608480998145736,0.428328297691195
12,120.0,10.0,1.9255302276067823,0.15008375399418736,0.0,66.36738001827858,66.89154686580369,3.492495580470404,0.0,3,0,0,9.94,809.94,0.0007520993471704391,86.03340345377137,6238.005995636832,6238.004270862856,0.0,330.2351914421661,9366.294850735578,12649.384578742167,6324.6922893710835,1.4822882515952838,101,11,0,6027.761694489426,8045.119633988317,14072.881328477742,3079.058933748467,3079.058933748467,0.037135221203453445,0.05590641394445088,0.0,0.0,3.4775387501895305,0.7608638562566336,0.428324630457283
