setup_id,name,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,cl_down,cd,vehicle_parameters,data_source,is_synthetic
10101,Baseline,16.0,20.0,0.04,0.06,3.42,1.1292,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10102,Grid F10 R12,10.0,12.0,0.04,0.06,2.67,0.7640000000000001,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10103,Grid F10 R18,10.0,18.0,0.04,0.06,3.0300000000000002,0.9440000000000002,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10104,Grid F10 R24,10.0,24.0,0.04,0.06,3.3899999999999997,1.1960000000000002,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10105,Grid F14 R12,14.0,12.0,0.04,0.06,2.8499999999999996,0.8312,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10106,Grid F14 R18,14.0,18.0,0.04,0.06,3.21,1.0112,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10107,Grid F14 R24,14.0,24.0,0.04,0.06,3.57,1.2632,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10108,Grid F18 R12,18.0,12.0,0.04,0.06,3.0300000000000002,0.9208000000000001,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10109,Grid F18 R18,18.0,18.0,0.04,0.06,3.39,1.1008,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
10110,Grid F18 R24,18.0,24.0,0.04,0.06,3.75,1.3528000000000002,"{""area_m2"": 1.5, ""mass_kg"": 820.0, ""max_brake_mps2"": 28.0, ""max_lateral_mps2"": 39.24, ""max_speed_mps"": 95.0, ""mu"": 1.55, ""power_w"": 480000.0, ""rho_kg_m3"": 1.225, ""rolling_coefficient"": 0.015}",Assumed parameters; transparent rule-based aero formula,True
