run_id,comparison_role,model_version,dataset_id
10101,baseline,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10102,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10103,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10104,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10105,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10106,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10107,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10108,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10109,grid,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
10110,candidate,realtrack-1.0.0,197ccb7fc1578619449a8faec63e1b288760c05340a8cdf57202b7eb0d7795d2
