sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.12067744427666661,0.0,82.81391927972436,82.91713443854755,0.8552978515732775,0.0,5,0,0,10.0,810.0,0.0,85.0,4999.1603488558085,4999.159605061237,0.0,422.09975306470244,12471.795870020378,15668.187667626451,7834.0938338132255,1.448374797857106,201,21,0,8955.004550001575,11241.592487645254,20196.59703764683,3884.269336016751,3884.269336016751,0.02534588674948377,0.052555163527220276,0.0,0.0,3.205308405649427,0.6164544021615749,0.44339175224961325
1,10.0,10.0,0.12067744427666663,0.12052920396003444,0.0,82.91713443854755,83.01775389467066,0.8348139107969018,0.0,5,0,0,9.995,809.995,8.675253107706775e-05,85.12770792034648,4992.9279451671855,4992.936656618641,0.0,422.83080267032284,12494.856967200021,15693.863210821504,7846.931605410752,1.4484571843245773,201,21,0,8976.704698302185,11268.678012969342,20245.382711271526,3893.9020488209258,3893.9020488209258,0.025333833736918804,0.05254154468943924,0.0,0.0,3.2050567280631155,0.616445593446054,0.4433951595938191
2,20.0,10.0,0.24120664823670107,0.12038503602810796,0.0,83.01775389467066,83.115850910916,0.8148605464754837,0.0,5,0,0,9.99,809.99,0.0001736522164790042,85.25523570522583,4986.876762146497,4986.885100809464,0.0,423.544169971087,12517.358355044758,15718.91964302771,7859.459821513855,1.4485333726249625,201,21,0,8997.880967806399,11295.10859676607,20292.98956457247,3903.3036981357327,3903.3036981357327,0.025322070737653052,0.052528250665885026,0.0,0.0,3.2048106358670614,0.6164369802191921,0.44339849183754143
3,30.0,10.0,0.36159168426480903,0.12024480937251941,0.0,83.115850910916,83.2114949792491,0.7954112017991065,0.0,5,0,0,9.985,809.985,0.00026069540166986693,85.38257787333694,4980.991745121531,4980.9993576764,0.0,424.2403192372707,12539.315563300575,15743.372385850804,7871.686192925402,1.4486032276550198,201,21,0,9018.547095045511,11320.901453855866,20339.448548901375,3912.480283595011,3912.480283595011,0.02531058980727678,0.052515273475662136,0.0,0.0,3.204569998868659,0.616428557924248,0.44340175070934473
4,40.0,10.0,0.48183649363732844,0.12010839903541908,0.0,83.2114949792491,83.30475334824835,0.7764516865448968,0.0,5,0,0,9.98,809.98,0.00034787861014675683,85.50972925784704,4975.2675345207845,4975.27415056347,0.0,424.91969192641733,12560.742610734595,15767.236851026562,7883.618425513281,1.4486666248675908,201,21,0,9038.716140340232,11346.072954420924,20384.789094761156,3921.4375055267315,3921.4375055267315,0.025299383771530237,0.0525026051648304,0.0,0.0,3.204334698226104,0.6164203224017586,0.4434049377858494
5,50.0,10.0,0.6019448926727475,0.11997568491558237,0.0,83.30475334824835,83.39569111324779,0.7579682921870698,0.0,5,0,0,9.975,809.975,0.0004351984562467619,85.6366848602654,4969.698987401919,4969.704408934609,0.0,425.5827167970008,12581.653108669034,15790.528011131019,7895.264005565509,1.4487234473720425,201,21,0,9058.400789103553,11370.6389969465,20429.039786050052,3930.180903140697,3930.180903140697,0.025288445660912227,0.052490238000612026,0.0,0.0,3.2041046176309838,0.6164122695809294,0.44340805461101856
6,60.0,10.0,0.72192057758833,0.1198465515325898,0.0,83.39569111324779,83.48437130190992,0.7399477709461735,0.0,5,0,0,9.97,809.97,0.0005226516424246611,85.7634398453535,4964.281166403112,4964.285258309157,0.0,426.2298103492634,12602.060275383075,15813.260414567818,7906.630207283909,1.4487735856184991,201,21,0,9077.613364827514,11394.61502462338,20472.228389450895,3938.7158600205776,3938.7158600205776,0.025277768703574257,0.05247816446403931,0.0,0.0,3.2038796432540004,0.616404395477735,0.4434111026968175
7,70.0,10.0,0.8417671291209199,0.1197208878049783,0.0,83.48437130190992,83.57085495551135,0.7223773159978009,0.0,5,0,0,9.965,809.965,0.0006102349566312201,85.88998953621953,4959.0093293753,4959.012010796908,0.0,426.8613772466323,12621.976949864975,15835.448199910516,7917.724099955258,1.448816937096902,201,21,0,9096.365841498487,11418.016041027004,20514.381882525493,3947.0476093765083,3947.0476093765083,0.025267346318532072,0.05246637724291371,0.0,0.0,3.2036596636920387,0.6163966961930664,0.44341408352385847
8,80.0,10.0,0.9614880169258982,0.11959858684138992,0.0,83.57085495551135,83.6552012062035,0.7052445427637395,0.0,5,0,0,9.96,809.96,0.0006979452697873723,86.01632940958876,4953.8789196471835,4953.880156190713,0.0,427.4778107187868,12641.415604951177,15857.105109634613,7928.552554817306,1.4488534060500322,201,21,0,9114.669855472588,11440.856625113202,20555.526480585788,3955.181239071478,3955.181239071478,0.025257172109176614,0.052454869225059625,0.0,0.0,3.2034445699165204,0.6163891679109232,0.44341699854203104
9,90.0,10.0,1.0810866037672882,0.11947954574382139,0.0,83.6552012062035,83.73746735049173,0.68853747121384,0.0,5,0,0,9.955,809.955,0.0007857795333498511,86.14245509124183,4948.885556878289,4948.885353577986,0.0,428.0794929473822,12660.38835988686,15878.244503271953,7939.122251635977,1.448882903199689,201,21,0,9132.536716840777,11463.150945568035,20595.68766240881,3963.121696433901,3963.121696433901,0.025247239857067665,0.052443633491856954,0.0,0.0,3.203234255223008,0.6163818068966502,0.4434198491711183
