drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps
1,1,2.55924267355,11.5301629597,160,860,68.3337460211,83.8973395116
2,1,37.429504192,44.3594475218,2140,2610,52.1737482617,78.5967751629
3,2,2.66527914865,11.5911261038,160,860,67.1889698984,85.9839549858
4,2,38.047348926,44.9206210022,2140,2610,51.8532430654,80.0445761093
5,3,3.06129036499,11.7673538292,160,810,62.2043456428,82.6435644113
6,3,43.6034162747,50.9157630776,2140,2610,44.1410882194,77.4627439145
7,4,2.52974424505,11.596792065,160,860,68.0217618028,83.216782025
8,4,37.6680857234,44.6274985944,2140,2610,51.9494984151,78.1460863599
9,5,2.67977904005,11.6575640452,160,860,66.8606243867,85.3420652211
10,5,38.3658392929,45.266993744,2140,2610,51.6114022533,79.6245102042
11,6,3.0897090693,11.8496226603,160,810,61.8135791055,82.0145000195
12,6,43.9344926137,51.3129636563,2140,2610,43.5179409836,76.9497147295
13,7,2.67739153846,11.9947190277,160,860,65.7546617866,80.3231505854
14,7,38.5004718186,45.5623154371,2140,2610,51.7147407635,76.2759845263
15,8,2.76145552848,11.9822108798,160,860,65.1954342706,82.6168683703
16,8,39.0829797043,46.0723467555,2140,2610,51.472812131,77.8909451831
17,9,3.17893796306,11.976867365,160,800,60.8653287629,79.3844163674
18,9,44.4524024051,51.8720695655,2140,2610,44.0179712722,75.3441332064
19,10,2.58366642871,11.4845087999,160,860,67.7926785076,85.9943351527
20,10,37.595672764,44.4515969385,2140,2610,52.2986225058,80.068005228
21,11,2.71408798423,11.5318102429,160,860,66.9199199856,87.9884983539
22,11,38.2653418962,45.0738648579,2140,2610,51.9384787631,81.4023356256
23,12,3.13922038202,12.3113884201,160,860,62.277301123,85.2187286731
24,12,43.7713847577,51.0230565375,2140,2610,44.1292814501,78.8053795083
25,13,2.5239232637,11.806698244,160,860,67.317202364,79.943969081
26,13,37.8287055346,44.9080117683,2140,2610,51.794538297,75.8950825175
27,14,2.67172999076,11.8764398264,160,860,66.2753229643,82.2192794981
28,14,38.4632250706,45.4677020475,2140,2610,51.5596926764,77.5313306286
29,15,3.06855094192,12.1321373632,160,820,61.3307839184,79.0851177791
30,15,43.8749896901,51.3071973107,2140,2610,44.1492620739,74.9900226786
31,16,2.57878415508,11.3842226968,160,860,68.1549913934,87.3396868557
32,16,37.5098272914,44.3306810463,2140,2610,52.195203585,80.9103005269
33,17,2.71286106947,11.4478611687,160,860,67.1891995941,89.2478213563
34,17,38.2071135308,45.0264353092,2140,2610,51.7991913426,82.1731612785
35,18,3.15892727842,12.253546632,160,860,62.2988625746,86.4624159122
36,18,43.8398475689,51.1110998126,2140,2610,43.4715510255,79.4332477176
37,19,2.57424676636,11.6015022254,160,860,67.5434161499,84.1197499583
38,19,37.8256194314,44.7550259843,2140,2610,51.9100171008,78.7946383111
39,20,2.71323656024,11.6482923979,160,860,66.5890267788,86.2157656484
40,20,38.4929425512,45.3682026336,2140,2610,51.5577516547,80.2236122102
41,21,3.16266162811,11.752823375,160,800,61.6898200235,82.7751673843
42,21,44.1291685213,51.5029106499,2140,2610,43.256846447,77.4887288243
43,22,2.5420828522,11.4797780421,160,860,68.2412005048,85.1152844989
44,22,37.4645477389,44.3572987957,2140,2610,52.1426348958,79.4071978358
45,23,2.68305437855,11.540889153,160,860,67.1743629436,87.1348142743
46,23,38.165111693,45.0073824704,2140,2610,51.7813072204,80.7843230579
47,24,3.12651561091,11.7655720371,160,810,62.193295629,83.7642742024
48,24,43.7453656102,51.0594908721,2140,2610,43.6851411818,78.1156309888
49,25,2.65820934493,11.7546117339,160,860,66.7680920534,83.5346999332
50,25,38.1091870925,45.050087467,2140,2610,52.0204667456,78.4754219416
51,26,2.74391981839,11.732581687,160,860,66.0731457778,85.6801599076
52,26,38.6756088165,45.5593469542,2140,2610,51.6966091673,79.933243808
53,27,3.16781330644,11.7901989533,160,800,61.5848468201,82.3157399736
54,27,44.1825289313,51.5154053245,2140,2610,43.9044292533,77.3284755245
55,28,2.5788634675,11.4159343751,160,860,68.4678501931,85.9507879077
56,28,37.3124358395,44.1713031277,2140,2610,52.3478182178,79.9724871767
57,29,2.67777088348,11.4802129547,160,860,67.40301384,87.9254585354
58,29,38.018921837,44.8298917064,2140,2610,51.9891463356,81.3118297864
59,30,3.0687246231,12.2380719317,160,860,62.523352012,85.1110752716
60,30,43.4982400258,50.7511292222,2140,2610,44.182279497,78.7180810429
61,31,2.56831991969,11.4829876876,160,860,67.9504619628,85.6731532119
62,31,37.5173227516,44.3836994812,2140,2610,52.3186281787,79.833617538
63,32,2.70124027549,11.5331746869,160,860,67.0271997843,87.6763613043
64,32,38.1939327782,45.0108891151,2140,2610,51.9788974616,81.1864403897
65,33,3.12501462506,12.3153904359,160,860,62.3415484059,84.8941606695
66,33,43.6757033925,50.9217553453,2140,2610,44.3343873955,78.6299494153
67,34,2.56592145022,11.8096755257,160,860,66.8732197963,80.728143769
68,34,37.9834466632,45.0304441316,2140,2610,51.8264450282,76.4908978042
69,35,2.70478557364,11.8685878362,160,860,66.0044087021,82.9856664878
70,35,38.6734102358,45.6496435672,2140,2610,51.5722343369,78.0895911982
71,36,3.09362669001,11.9792044396,160,810,61.3037604859,79.7797174822
72,36,44.0123093249,51.4201054392,2140,2610,44.0804349682,75.5372218474
73,37,1.25472149935,5.90720357446,100,480,79.9445410656,84.1748677048
74,37,28.8157228454,34.5064850585,1650,2020,50.8686907215,75.8393971942
75,38,1.29797590896,6.19884906888,100,500,78.0581531272,85.4102146558
76,38,29.6678618986,35.3284793502,1650,2020,50.4296861873,76.9647278766
77,39,1.66634446537,7.54963290785,100,530,64.0030245838,79.9702110158
78,39,35.230537604,41.3462048512,1650,2020,42.5937534194,74.2921651434
79,40,1.26520010986,6.43696969138,100,520,79.2610352106,83.656428189
80,40,29.0270567834,34.739546393,1650,2020,50.6599079855,75.4647662311
81,41,1.29594151543,6.21186844649,100,500,78.062069777,84.9425206527
82,41,29.8584406348,35.5416901456,1650,2020,50.1589855167,76.608307217
83,42,1.67876331651,7.5975002307,100,530,63.5928299957,79.4319213893
84,42,35.5362103699,41.7134689611,1650,2020,41.9597910059,73.807998719
85,43,1.31073222061,6.50958660582,100,510,76.4288813766,80.5119948088
86,43,29.7812428081,35.569396425,1650,2020,50.3415081363,73.9026038518
87,44,1.40345854503,6.42780347222,100,490,72.6786497107,81.0975073565
88,44,30.6496549282,36.3961674807,1650,2020,49.9752452424,75.1870348349
89,45,1.78861359615,7.87840236071,100,530,61.494610757,77.0863111165
90,45,36.1647583342,42.3615606245,1650,2020,42.3072136699,72.573015029
91,46,1.24772392478,6.16890267237,100,510,80.7085412817,86.418234275
92,46,29.1251065372,34.7689250054,1650,2020,50.8767340768,77.0167207201
93,47,1.37204754152,6.69192365838,100,530,74.8558599683,86.2646561893
94,47,30.1732253282,35.7936666528,1650,2020,50.3997505161,78.035410893
95,48,1.75748310033,7.62085862224,100,530,62.9864302896,81.2430200411
96,48,35.7742397734,41.8581177482,1650,2020,42.4411977189,75.3210515222
97,49,1.31956871106,6.805498134,100,530,75.9035924338,80.0170833145
98,49,29.0227814655,34.8157595296,1650,2020,50.5813095975,73.61453364
99,50,1.29081618428,6.42166858702,100,510,77.778605072,82.463925671
100,50,29.7966438764,35.5467226544,1650,2020,50.2090626647,74.9208106774
101,51,1.66387517042,7.68963983461,100,530,63.4955172284,77.0774281627
102,51,35.3387615,41.5323535927,1650,2020,42.5989550441,72.3219496504
103,52,1.27140646195,6.07725359752,100,510,81.856667297,87.9027478454
104,52,29.0684363845,34.6889444286,1650,2020,50.7871820089,77.6917974726
