simulation_segment_id,run_id,segment_id,sector_id,segment_time_s,top_speed_mps,length_m
1,1,101,11,14.2217394714,83.8973395116,1050
2,1,102,11,4.40519747209,43.1636087038,190
3,1,103,12,10.5402980976,76.5032449578,650
4,1,104,12,5.72998568249,26.1833077855,150
5,1,105,13,11.2327807838,79.1997026313,700
6,1,106,13,3.46752113329,57.8090217896,200
7,2,101,11,14.3067791267,85.9839549858,1050
8,2,102,11,4.66214596483,40.7749379426,190
9,2,103,12,10.5970064041,77.9661041097,650
10,2,104,12,5.89523633351,25.4476055503,150
11,2,105,13,11.253067994,80.8351074097,700
12,2,106,13,3.79526368213,53.3176197484,200
13,3,101,11,15.5674332527,82.6435644113,1050
14,3,102,11,5.85624998016,32.4532826245,190
15,3,103,12,11.8519219296,75.056228368,650
16,3,104,12,7.1676375745,20.9307950735,150
17,3,105,13,12.6117897242,77.9079753441,700
18,3,106,13,4.85297349943,41.2182203867,200
19,4,101,11,14.3062595827,83.216782025,1050
20,4,102,11,4.44812188989,42.744537089,190
21,4,103,12,10.5913342391,75.9760496137,650
22,4,104,12,5.77214817757,25.9912377782,150
23,4,105,13,11.2886588981,78.6737880691,700
24,4,106,13,3.4819765111,57.5622869283,200
25,5,101,11,14.3898309831,85.3420652211,1050
26,5,102,11,4.74863127558,40.3708778135,190
27,5,103,12,10.6818518749,77.4868197117,650
28,5,104,12,5.93986698976,25.2557627484,150
29,5,105,13,11.3094087335,80.3523664313,700
30,5,106,13,3.82277055512,52.9255395755,200
31,6,101,11,15.6727080019,82.0145000195,1050
32,6,102,11,5.91972573864,32.1048043109,190
33,6,103,12,11.9375737691,74.5293917798,650
34,6,104,12,7.21527404869,20.7919201627,150
35,6,105,13,12.7179192162,77.3662036719,700
36,6,106,13,4.90014809242,40.8212064579,200
37,7,101,11,14.7418766129,80.3231505854,1050
38,7,102,11,4.58664161569,41.4495328814,190
39,7,103,12,10.8070263072,73.8367141097,650
40,7,104,12,5.81273746157,25.8084290475,150
41,7,105,13,11.4489810559,76.4816637789,700
42,7,106,13,3.72757089239,54.3192511052,200
43,8,101,11,14.7837445431,82.6168683703,1050
44,8,102,11,4.85988049679,39.4371348806,190
45,8,103,12,10.8663537303,75.551163453,650
46,8,104,12,5.9697212867,25.1286342181,150
47,8,105,13,11.445097156,78.3363355308,700
48,8,106,13,3.9897336706,50.6771250069,200
49,9,101,11,15.9835733559,79.3844163674,1050
50,9,102,11,5.99986945916,31.6757632606,190
51,9,103,12,12.0740793144,72.5903397857,650
52,9,104,12,7.22193928571,20.7721345313,150
53,9,105,13,12.7976466348,75.5679019628,700
54,9,106,13,5.06968111606,39.7699307092,200
55,10,101,11,14.1741298823,85.9943351527,1050
56,10,102,11,4.55293848395,41.7560772784,190
57,10,103,12,10.5258974853,78.1404747179,650
58,10,104,12,5.79963606172,25.8680255339,150
59,10,105,13,11.1765920094,80.8312820569,700
60,10,106,13,3.6518200145,54.8440815508,200
61,11,101,11,14.257425587,87.9884983539,1050
62,11,102,11,4.82923659569,39.6892044693,190
63,11,103,12,10.6254080845,79.4834585256,650
64,11,104,12,5.95638475941,25.1857063174,150
65,11,105,13,11.2941089573,82.2816201256,700
66,11,106,13,3.95451028136,51.1286487803,200
67,12,101,11,15.5465251097,85.2187286731,1050
68,12,102,11,5.9711254931,31.8278029934,190
69,12,103,12,11.8773714857,76.3019982128,650
70,12,104,12,7.20900410693,20.8099175245,150
71,12,105,13,12.607309637,79.2510895355,700
72,12,106,13,5.03499348633,40.0431863219,200
73,13,101,11,14.5213528258,79.943969081,1050
74,13,102,11,4.36026565153,43.6119155027,190
75,13,103,12,10.712865417,73.4986687734,650
76,13,104,12,5.70282750225,26.3071457297,150
77,13,105,13,11.4183074333,76.063839874,700
78,13,106,13,3.41333374857,58.7559525482,200
79,14,101,11,14.6387067103,82.2192794981,1050
80,14,102,11,4.62348119364,41.1179484613,190
