longitude,latitude
-1.024004600000000043e+00,5.206784350000000217e+01
-1.023486700000000083e+00,5.206826089999999851e+01
-1.022152100000000008e+00,5.206933659999999975e+01
-1.020650999999999975e+00,5.207054639999999779e+01
-1.020111100000000048e+00,5.207097720000000152e+01
-1.020003299999999946e+00,5.207106410000000096e+01
-1.019897000000000054e+00,5.207114359999999920e+01
-1.019844699999999937e+00,5.207118030000000175e+01
-1.019816800000000079e+00,5.207119689999999679e+01
-1.019788099999999975e+00,5.207121089999999697e+01
-1.019745799999999925e+00,5.207122780000000262e+01
-1.019699200000000028e+00,5.207124350000000135e+01
-1.019648899999999969e+00,5.207125760000000270e+01
-1.019599200000000039e+00,5.207127189999999928e+01
-1.019555800000000012e+00,5.207128089999999787e+01
-1.019497099999999934e+00,5.207129040000000231e+01
-1.019436999999999927e+00,5.207130020000000314e+01
-1.019378700000000082e+00,5.207130690000000328e+01
-1.019297899999999979e+00,5.207131470000000206e+01
-1.019204199999999894e+00,5.207132219999999734e+01
-1.019122700000000048e+00,5.207132680000000136e+01
-1.019053399999999998e+00,5.207132949999999738e+01
-1.018955499999999903e+00,5.207133009999999729e+01
-1.018813900000000050e+00,5.207132899999999864e+01
-1.018735600000000074e+00,5.207132589999999794e+01
-1.018656900000000087e+00,5.207132020000000239e+01
-1.018481600000000098e+00,5.207130560000000230e+01
-1.018288700000000047e+00,5.207128660000000053e+01
-1.018055699999999897e+00,5.207126619999999662e+01
-1.017438000000000065e+00,5.207120549999999781e+01
-1.017253500000000033e+00,5.207118830000000287e+01
-1.017152199999999951e+00,5.207118299999999778e+01
-1.017049199999999987e+00,5.207118020000000058e+01
-1.016938600000000026e+00,5.207118090000000166e+01
-1.016809700000000039e+00,5.207118870000000044e+01
-1.016698300000000055e+00,5.207119610000000165e+01
-1.016587700000000094e+00,5.207120840000000328e+01
-1.016482300000000061e+00,5.207122569999999939e+01
-1.016380000000000061e+00,5.207124360000000252e+01
-1.016302000000000039e+00,5.207125870000000134e+01
-1.016192800000000007e+00,5.207128430000000208e+01
-1.016096000000000110e+00,5.207131129999999786e+01
-1.015983800000000103e+00,5.207134659999999826e+01
-1.015876299999999954e+00,5.207138810000000007e+01
-1.015705899999999939e+00,5.207146720000000073e+01
-1.013659300000000041e+00,5.207247569999999826e+01
-1.013582299999999936e+00,5.207250229999999647e+01
