setup_id,setup_name,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,data_source_type,synthetic_flag,model_version,data_version,generation_timestamp,random_seed,validation_status
1,Baseline,17.5,20,0.04,0.06,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
2,Candidate 01,20.7874725827,19.022055036,0.0486063500779,0.0696052490461,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
3,Candidate 02,12.6301281747,27.6099576262,0.0462673528478,0.07279831499,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
4,Candidate 03,13.0373635921,19.2061750063,0.0368991525816,0.0778635395985,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
5,Candidate 04,19.226381441,25.1641858123,0.0386419407719,0.0526805939843,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
6,Candidate 05,18.1550174442,13.0210760977,0.0478631481278,0.0672399183684,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
7,Candidate 06,20.597052881,17.6724154901,0.0512967525855,0.0766523603676,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
8,Candidate 07,20.8406019649,15.1142193256,0.0392013040894,0.0460769355683,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
9,Candidate 08,13.3514739048,22.9287832519,0.0458742917418,0.0793303503676,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
10,Candidate 09,15.4099042977,17.9273552966,0.0392693394706,0.051320968927,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
11,Candidate 10,13.059058064,19.6112788196,0.0334458243772,0.0686133038086,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
12,Candidate 11,16.7458230265,25.3228511369,0.0448063624481,0.0557451990898,standard,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
