aero_map_id,setup_id,speed_mps,front_height_m,rear_height_m,yaw_deg,drs,cl_front,cl_rear,cd,downforce_n,drag_n,data_source_type,synthetic_flag,model_version,data_version,generation_timestamp,random_seed,validation_status
1,1,0,0.025,0.04,-5,0,1.39409979229,1.85037844628,0.762790725811,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
2,1,0,0.025,0.04,-5,1,1.39409979229,1.38778383471,0.625488395165,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
3,1,0,0.025,0.04,0,0,1.42582258069,1.89248387104,0.755290725811,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
4,1,0,0.025,0.04,0,1,1.42582258069,1.41936290328,0.619338395165,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
5,1,0,0.025,0.04,5,0,1.39409979229,1.85037844628,0.762790725811,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
6,1,0,0.025,0.04,5,1,1.39409979229,1.38778383471,0.625488395165,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
7,1,0,0.025,0.06,-5,0,1.43471480593,1.91130096673,0.766425406656,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
8,1,0,0.025,0.06,-5,1,1.43471480593,1.43347572505,0.628468833458,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
9,1,0,0.025,0.06,0,0,1.46736179035,1.95479268553,0.758925406656,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
10,1,0,0.025,0.06,0,1,1.46736179035,1.46609451414,0.622318833458,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
11,1,0,0.025,0.06,5,0,1.43471480593,1.91130096673,0.766425406656,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
12,1,0,0.025,0.06,5,1,1.43471480593,1.43347572505,0.628468833458,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
13,1,0,0.025,0.085,-5,0,1.33088329698,1.75555370331,0.757133414289,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
14,1,0,0.025,0.085,-5,1,1.33088329698,1.31666527749,0.620849399717,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
15,1,0,0.025,0.085,0,0,1.36116759187,1.79550138781,0.749633414289,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
16,1,0,0.025,0.085,0,1,1.36116759187,1.34662604086,0.614699399717,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
17,1,0,0.025,0.085,5,0,1.33088329698,1.75555370331,0.757133414289,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
18,1,0,0.025,0.085,5,1,1.33088329698,1.31666527749,0.620849399717,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
19,1,0,0.04,0.04,-5,0,1.40008860574,1.85936166646,0.763326671108,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
20,1,0,0.04,0.04,-5,1,1.40008860574,1.39452124984,0.625927870308,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
21,1,0,0.04,0.04,0,0,1.4319476698,1.9016715047,0.755826671108,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
22,1,0,0.04,0.04,0,1,1.4319476698,1.42625362853,0.619777870308,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
23,1,0,0.04,0.04,5,0,1.40008860574,1.85936166646,0.763326671108,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
24,1,0,0.04,0.04,5,1,1.40008860574,1.39452124984,0.625927870308,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
25,1,0,0.04,0.06,-5,0,1.4412844213,1.92115538979,0.767013328535,0,0,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
