table_name,row_count,duplicate_rows,missing_cells,synthetic_percentage
dim_car,1,0,0,100
dim_circuit,3,0,0,100
dim_setup,15,0,0,100
dim_weather,3,0,0,100
dim_tyre,3,0,0,100
dim_driver,1,0,0,100
dim_date,1,0,0,100
dim_session,3,0,0,100
dim_sector,9,0,0,100
dim_corner,9,0,0,100
fact_aero_map,3240,0,0,100
run_registry,133,0,0,100
fact_simulation_lap,133,0,0,100
fact_simulation_sector,399,0,0,100
fact_drs_event,260,0,0,100
fact_tyre_state,6569,0,0,100
fact_simulation_warning,0,0,0,
fact_optimization_run,11,0,0,100
fact_optimization_result,746,0,0,100
fact_model_validation,1064,0,0,100
fact_lap,0,0,0,
fact_sector,0,0,0,
fact_telemetry,0,0,0,
dim_track_segment,18,0,0,100
fact_vehicle_state,32424,0,0,100
fact_simulation_segment,798,0,0,100
