segment_id,circuit_id,sector_id,segment_order,kind,length_m,radius_m,banking_rad,grade_rad,surface_grip,width_m,drs_zone,drs_start_fraction,drs_end_fraction,data_source_type,synthetic_flag,model_version,data_version,generation_timestamp,random_seed,validation_status
101,1,11,1,straight,1050,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
102,1,11,2,corner,190,75,0.02,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
103,1,12,3,straight,650,0,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
104,1,12,4,corner,150,40,-0.01,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
105,1,13,5,straight,700,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
106,1,13,6,corner,200,110,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
201,2,21,1,straight,650,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
202,2,21,2,corner,220,95,0.02,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
203,2,22,3,straight,500,0,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
204,2,22,4,corner,200,50,-0.01,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
205,2,23,5,straight,550,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
206,2,23,6,corner,240,150,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
301,3,31,1,straight,420,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
302,3,31,2,corner,300,160,0.02,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
303,3,32,3,straight,330,0,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
304,3,32,4,corner,260,110,-0.01,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
305,3,33,5,straight,400,0,0,0,1,12,1,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
306,3,33,6,corner,350,210,0,0,1,12,0,0.15,0.82,synthetic,True,1.0.0,1.0.0,2026-09-16T20:12:09.907988+00:00,42,schema_checked
