optimization_result_id,optimization_run_id,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit_id,objective_run,seed
1,1,16.5322796334,15.1805919496,0.0351689561244,0.060726211297,standard,local,qualifying,49.0670675718,87.0968931466,1.47,0.0201318904787,0.0201318904787,2940,57.2867654543,250,11570.7648204,2204.08203291,8596.61086205,17,0.64,True,,49.0670675718,True,1,qualifying,42
2,1,16.5322796334,15.1605319442,0.0351689561244,0.060726211297,standard,local,qualifying,49.0675216996,87.1065745454,1.47,0.0201307458126,0.0201307458126,2940,57.2780190618,250,11568.8141476,2202.85250885,8595.90089863,17,0.64,True,,49.0675216996,True,1,qualifying,42
3,1,16.5322796334,15.1980320326,0.0351689561244,0.060726211297,standard,local,qualifying,49.0676375542,87.0878301923,1.47,0.0201323791955,0.0201323791955,2940,57.2865889897,250,11571.9935074,2205.06273485,8597.13808252,17,0.64,True,,49.0676375542,False,1,qualifying,42
4,1,16.5322796334,15.1547155576,0.0351689561244,0.060726211297,standard,local,qualifying,49.0676890987,87.1093803285,1.47,0.0201303955134,0.0201303955134,2940,57.274958645,250,11568.2317708,2202.49307824,8595.69468968,17,0.64,True,,49.0676890987,True,1,qualifying,42
5,1,16.5322796334,15.2262506798,0.0351689561244,0.060726211297,standard,local,qualifying,49.0685757235,87.0731349606,1.47,0.0201331590168,0.0201331590168,2940,57.2862794576,250,11573.9729967,2206.65039915,8597.98532453,17,0.64,True,,49.0685757235,False,1,qualifying,42
6,1,16.5322796334,15.0258578992,0.0351689561244,0.060726211297,standard,local,qualifying,49.0714348048,87.1713165506,1.47,0.0201225911238,0.0201225911238,2940,57.2072838456,250,11555.3099272,2194.56189119,8591.07586198,17,0.64,True,,49.0714348048,True,1,qualifying,42
7,1,17.929056837,15.6755069621,0.0351689561244,0.060726211297,standard,differential_evolution,qualifying,49.0792377874,86.2437283079,1.47,0.0201898603134,0.0201898603134,2940,57.53870724,250,11676.7808657,2294.82797863,8520.76152122,17,0.56,True,,49.0792377874,False,1,qualifying,42
8,1,16.5322796334,15.5834943914,0.0351689561244,0.060726211297,standard,local,qualifying,49.0807847265,86.8853951395,1.47,0.0201426026853,0.0201426026853,2940,57.2825455642,250,11599.118116,2227.03184043,8608.31206694,17,0.64,True,,49.0807847265,False,1,qualifying,42
9,1,16.5322796334,14.72135955,0.0351689561244,0.060726211297,standard,local,qualifying,49.081005335,87.3161834288,1.47,0.0200981065949,0.0200981065949,2940,57.051971266,250,11524.2830893,2175.99375018,8579.80738624,17,0.64,True,,49.081005335,True,1,qualifying,42
10,1,16.5322796334,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0840332745,86.8365354949,1.47,0.0201449051802,0.0201449051802,2940,57.281640016,250,11605.4478288,2232.33286399,8610.85253341,17,0.64,True,,49.0840332745,False,1,qualifying,42
11,1,16.5289462793,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0840400573,86.8378283597,1.47,0.0201447038246,0.0201447038246,2940,57.2799035045,250,11605.1669575,2232.1686317,8611.05094124,17,0.64,True,,49.0840400573,False,1,qualifying,42
12,1,16.5358635762,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.08407176,86.8351456205,1.47,0.020145108192,0.020145108192,2940,57.2835125146,250,11605.7321903,2232.50605677,8610.63923865,17,0.64,True,,49.08407176,False,1,qualifying,42
13,1,16.5256129252,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0841105714,86.8391211938,1.47,0.02014448593,0.02014448593,2940,57.2781742038,250,11604.861358,2231.99963586,8611.2493422,17,0.64,True,,49.0841105714,False,1,qualifying,42
14,1,16.5421785294,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0841476023,86.8326958034,1.47,0.0201454623341,0.0201454623341,2940,57.2868136736,250,11606.2295566,2232.8106012,8610.26329199,17,0.64,True,,49.0841476023,False,1,qualifying,42
15,1,16.5516755429,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0842618893,86.8290106135,1.47,0.020145994604,0.020145994604,2940,57.2917793249,250,11606.9774268,2233.26880668,8609.69779097,17,0.64,True,,49.0842618893,False,1,qualifying,42
16,1,16.5177538577,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0843042799,86.8421694761,1.47,0.0201439640117,0.0201439640117,2940,57.2741009621,250,11604.1293447,2231.59909698,8611.71714751,17,0.64,True,,49.0843042799,False,1,qualifying,42
17,1,16.617973037,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0850680178,86.8032332032,1.47,0.0201497007042,0.0201497007042,2940,57.3264777916,250,11612.1932604,2236.47407115,8605.74313552,17,0.64,True,,49.0850680178,False,1,qualifying,42
18,1,16.4782339089,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.085281451,86.8574778872,1.47,0.0201413362741,0.0201413362741,2940,57.2536310158,250,11600.4467581,2229.58753807,8614.06680944,17,0.64,True,,49.085281451,False,1,qualifying,42
19,1,16.8458023618,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.0879452526,86.7139869031,1.47,0.0201623085811,0.0201623085811,2940,57.4461775529,250,11630.0536951,2247.57711492,8592.06397369,17,0.64,True,,49.0879452526,False,1,qualifying,42
20,1,15.7294901688,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.1051279669,87.141807088,1.47,0.0200848802745,0.0200848802745,2940,56.8731854786,250,11529.5596365,2192.17228199,8657.81097063,17,0.64,True,,49.1051279669,True,1,qualifying,42
21,1,17.5609858684,15.6559455395,0.03330989691,0.058321284358,standard,differential_evolution,qualifying,49.1274221569,86.4393128406,1.47,0.0201243723626,0.0201243723626,2940,57.485164213,250,11626.9403017,2277.83776458,8498.76311489,17,0.64,True,,49.1274221569,False,1,qualifying,42
22,1,15.3254589953,15.6559455395,0.0298721615783,0.058321284358,standard,differential_evolution,qualifying,49.1354268527,87.3751891806,1.47,0.0198232840041,0.0198232840041,2940,56.4719942608,250,11312.1118429,2164.18699613,8538.43993922,17,0.64,True,,49.1354268527,True,1,qualifying,42
23,1,13.75,15,0.0325,0.05125,standard,grid,qualifying,49.1505965281,88.2756315859,1.47,0.0196731197955,0.0196731197955,2940,55.6855057226,275,11111.4251247,2056.3521373,8583.4995614,17,0.64,True,,49.1505965281,True,1,qualifying,42
24,1,16.5322796334,17.639320225,0.0351689561244,0.060726211297,standard,local,qualifying,49.1581141457,85.7473285987,1.47,0.0201607277113,0.0201607277113,2940,57.276355233,225,11695.0338226,2343.89741351,8653.71918149,16,0.56,True,,49.1581141457,False,1,qualifying,42
25,1,14.0352271028,11.4449931504,0.041810560062,0.0550928926843,standard,differential_evolution,qualifying,49.1684345177,89.869204177,1.47,0.0195592105362,0.0195592105362,2940,54.9793690839,275,10843.5001611,1883.38106215,8524.47228526,17,0.64,True,,49.1684345177,True,1,qualifying,42
26,1,17.7598097614,16.4745268675,0.041093501273,0.0506799308388,standard,differential_evolution,qualifying,49.1810707727,85.9542836956,1.47,0.0199321735783,0.0199321735783,2940,57.3365644133,250,11477.307358,2320.36628575,8437.69077277,16,0.56,True,,49.1810707727,False,1,qualifying,42
27,1,19.2705098312,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.1878877621,85.6241095029,1.47,0.0202085095131,0.0202085095131,2940,57.5309365569,225,11735.5750946,2358.13624417,8427.64739279,16,0.56,True,,49.1878877621,False,1,qualifying,42
28,1,13.5410196625,15.6755069621,0.0351689561244,0.060726211297,standard,local,qualifying,49.1973852511,87.9057246199,1.47,0.0199107647612,0.0199107647612,2940,55.7994393492,250,11313.6554117,2091.14523445,8776.38716316,17,0.64,True,,49.1973852511,False,1,qualifying,42
29,1,16.6923441336,17.6204245219,0.0340453626744,0.0683627166903,standard,random,qualifying,49.202244259,85.7203870304,1.47,0.0200447045061,0.0200447045061,2940,57.1558634378,225,11595.0020234,2343.63154916,8616.7835979,17,0.56,True,,49.202244259,False,1,qualifying,42
30,1,13.9996071174,15.7721192359,0.0294782081494,0.0515809296329,standard,differential_evolution,qualifying,49.2284867962,87.8204430929,1.47,0.0195558702086,0.0195558702086,2940,55.6462650048,250,11056.0547914,2103.41401564,8513.26410113,17,0.64,True,,49.2284867962,True,1,qualifying,42
31,1,13.75,15,0.0325,0.07375,standard,grid,qualifying,49.2552893137,88.2790210789,1.47,0.0195344879074,0.0195344879074,2940,55.3598647867,275,10969.0744706,2045.50466683,8623.53339772,17,0.64,True,,49.2552893137,True,1,qualifying,42
32,1,18.5415830671,18.8080630159,0.0382627142023,0.0647283765245,standard,differential_evolution,qualifying,49.2606917068,84.2718679575,1.47,0.0202482508693,0.0202482508693,2940,58.2183077768,225,11884.8484141,2518.59104311,8567.00336474,16,0.56,True,,49.2606917068,False,1,qualifying,42
33,1,14.8873803721,17.4091941207,0.0390866743383,0.0485262111588,standard,random,qualifying,49.2978952269,86.5353344158,1.47,0.0197273758452,0.0197273758452,2940,55.994539205,250,11255.9293351,2234.04729211,8590.99848955,16,0.56,True,,49.2978952269,False,1,qualifying,42
34,1,19.1308302584,18.8393790236,0.0412388941082,0.0685784395968,standard,differential_evolution,qualifying,49.3434141492,84.034076778,1.47,0.0200940725276,0.0200940725276,2940,58.1869475846,225,11762.786019,2541.07367467,8485.90576491,16,0.56,True,,49.3434141492,False,1,qualifying,42
35,1,18.9975930889,14.4853861892,0.0347740518466,0.0473220304052,standard,differential_evolution,qualifying,49.3632821281,86.3821808981,1.47,0.0197918882773,0.0197918882773,2940,56.3871073653,250,11333.830475,2259.26872557,8212.39218239,16,0.64,True,,49.3632821281,False,1,qualifying,42
