simulation_sector_id,run_id,sector_id,sector_time_s,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
1,1,11,18.6269369435,1,1,1,2,1,1,20260917,setup_sweep
2,1,12,16.2702837801,1,1,1,2,1,1,20260917,setup_sweep
3,1,13,14.7003019171,1,1,1,2,1,1,20260917,setup_sweep
4,2,11,18.9689250916,1,1,2,2,1,1,20260917,setup_sweep
5,2,12,16.4922427376,1,1,2,2,1,1,20260917,setup_sweep
6,2,13,15.0483316761,1,1,2,2,1,1,20260917,setup_sweep
7,3,11,21.4236832329,1,1,3,2,3,1,20260917,setup_sweep
8,3,12,19.0195595042,1,1,3,2,3,1,20260917,setup_sweep
9,3,13,17.4647632236,1,1,3,2,3,1,20260917,setup_sweep
10,4,11,18.7543814725,1,2,1,2,1,1,20260917,setup_sweep
11,4,12,16.3634824167,1,2,1,2,1,1,20260917,setup_sweep
12,4,13,14.7706354092,1,2,1,2,1,1,20260917,setup_sweep
13,5,11,19.1384622586,1,2,2,2,1,1,20260917,setup_sweep
14,5,12,16.6217188647,1,2,2,2,1,1,20260917,setup_sweep
15,5,13,15.1321792886,1,2,2,2,1,1,20260917,setup_sweep
16,6,11,21.5924337406,1,2,3,2,3,1,20260917,setup_sweep
17,6,12,19.1528478177,1,2,3,2,3,1,20260917,setup_sweep
18,6,13,17.6180673086,1,2,3,2,3,1,20260917,setup_sweep
19,7,11,19.3285182286,1,3,1,2,1,1,20260917,setup_sweep
20,7,12,16.6197637687,1,3,1,2,1,1,20260917,setup_sweep
21,7,13,15.1765519483,1,3,1,2,1,1,20260917,setup_sweep
22,8,11,19.6436250399,1,3,2,2,1,1,20260917,setup_sweep
23,8,12,16.836075017,1,3,2,2,1,1,20260917,setup_sweep
24,8,13,15.4348308265,1,3,2,2,1,1,20260917,setup_sweep
25,9,11,21.983442815,1,3,3,2,3,1,20260917,setup_sweep
26,9,12,19.2960186001,1,3,3,2,3,1,20260917,setup_sweep
27,9,13,17.8673277509,1,3,3,2,3,1,20260917,setup_sweep
28,10,11,18.7270683663,1,4,1,2,1,1,20260917,setup_sweep
29,10,12,16.325533547,1,4,1,2,1,1,20260917,setup_sweep
30,10,13,14.8284120239,1,4,1,2,1,1,20260917,setup_sweep
31,11,11,19.0866621827,1,4,2,2,1,1,20260917,setup_sweep
32,11,12,16.5817928439,1,4,2,2,1,1,20260917,setup_sweep
