tyre_state_id,run_id,tyre_id,sample_index,distance_m,tyre_wear,tyre_temperature_c,tyre_mu,fuel_kg,circuit_id,setup_id,weather_id,session_id,car_id,date_id,comparison_group
1,1,2,0,0,0,85,1.50313943581,10,1,1,1,1,1,20260917,setup_sweep
2,1,2,5,50,0.000297527294388,85.4091833331,1.49259979698,9.975,1,1,1,1,1,20260917,setup_sweep
3,1,2,10,100,0.00061827549532,85.8499736102,1.4848459487,9.95,1,1,1,1,1,20260917,setup_sweep
4,1,2,15,150,0.000958045026469,86.3149097297,1.47889671067,9.925,1,1,1,1,1,20260917,setup_sweep
5,1,2,20,200,0.0012866309964,86.7535971898,1.48740944195,9.9,1,1,1,1,1,20260917,setup_sweep
6,1,2,25,250,0.00162282314222,87.1976762941,1.48257736998,9.875,1,1,1,1,1,20260917,setup_sweep
7,1,2,30,300,0.00197146862463,87.654994944,1.47849538011,9.85,1,1,1,1,1,20260917,setup_sweep
8,1,2,35,350,0.00233089467559,88.1225701269,1.47496023202,9.825,1,1,1,1,1,20260917,setup_sweep
9,1,2,40,400,0.00269969512645,88.5979086461,1.47182442715,9.8,1,1,1,1,1,20260917,setup_sweep
10,1,2,45,450,0.0030766764093,89.0789098104,1.46897812177,9.775,1,1,1,1,1,20260917,setup_sweep
11,1,2,50,500,0.00346081765131,89.5637930143,1.46633795245,9.75,1,1,1,1,1,20260917,setup_sweep
12,1,2,55,550,0.00385124042002,90.0510424578,1.46383979055,9.725,1,1,1,1,1,20260917,setup_sweep
13,1,2,60,600,0.00424718515514,90.5393638273,1.46143384713,9.7,1,1,1,1,1,20260917,setup_sweep
14,1,2,65,650,0.00464799243259,91.027649676,1.45908125139,9.675,1,1,1,1,1,20260917,setup_sweep
15,1,2,70,700,0.00505308783272,91.5149513316,1.45675158922,9.65,1,1,1,1,1,20260917,setup_sweep
16,1,2,75,750,0.00546196955847,92.0004558118,1.4544210888,9.625,1,1,1,1,1,20260917,setup_sweep
17,1,2,80,800,0.00587419819229,92.4834666553,1.45207125451,9.6,1,1,1,1,1,20260917,setup_sweep
18,1,2,85,850,0.00628938814358,92.9633878634,1.44968781989,9.575,1,1,1,1,1,20260917,setup_sweep
19,1,2,90,900,0.006750957977,93.5121488835,1.43287251808,9.55,1,1,1,1,1,20260917,setup_sweep
20,1,2,95,950,0.00722070301873,94.0652260292,1.43141046051,9.525,1,1,1,1,1,20260917,setup_sweep
21,1,2,100,1000,0.00778482465683,94.7657357899,1.45615413199,9.5,1,1,1,1,1,20260917,setup_sweep
22,1,2,105,1050,0.00822454186088,95.2478365946,1.50743939358,9.475,1,1,1,1,1,20260917,setup_sweep
23,1,2,110,1100,0.00844489076661,95.3600164956,1.50674916081,9.45,1,1,1,1,1,20260917,setup_sweep
24,1,2,115,1150,0.00866513343393,95.4701666292,1.50605831146,9.425,1,1,1,1,1,20260917,setup_sweep
25,1,2,120,1200,0.00888526984824,95.5783205205,1.50536715951,9.4,1,1,1,1,1,20260917,setup_sweep
26,1,2,125,1250,0.00910487260661,95.6838000604,1.51919849333,9.375,1,1,1,1,1,20260917,setup_sweep
27,1,2,130,1300,0.00934839686886,95.8271670848,1.49653400219,9.35,1,1,1,1,1,20260917,setup_sweep
28,1,2,135,1350,0.00962653981755,96.025363569,1.48095449547,9.325,1,1,1,1,1,20260917,setup_sweep
29,1,2,140,1400,0.00993175235376,96.2650128052,1.46910657181,9.3,1,1,1,1,1,20260917,setup_sweep
30,1,2,145,1450,0.010258832242,96.5368347939,1.45954401225,9.275,1,1,1,1,1,20260917,setup_sweep
31,1,2,150,1500,0.0106039047976,96.8338957688,1.45150021278,9.25,1,1,1,1,1,20260917,setup_sweep
32,1,2,155,1550,0.0109639591515,97.150803606,1.44451798637,9.225,1,1,1,1,1,20260917,setup_sweep
33,1,2,160,1600,0.011336592903,97.4832605863,1.43830295783,9.2,1,1,1,1,1,20260917,setup_sweep
34,1,2,165,1650,0.0117198543631,97.8277847081,1.43265519222,9.175,1,1,1,1,1,20260917,setup_sweep
35,1,2,170,1700,0.0121121373422,98.1815223912,1.42743353881,9.15,1,1,1,1,1,20260917,setup_sweep
36,1,2,175,1750,0.0125121071049,98.5421157574,1.42253544388,9.125,1,1,1,1,1,20260917,setup_sweep
37,1,2,180,1800,0.0129186461633,98.9076048763,1.41861098379,9.1,1,1,1,1,1,20260917,setup_sweep
38,1,2,185,1850,0.0134173299968,99.4190624572,1.47156159855,9.075,1,1,1,1,1,20260917,setup_sweep
39,1,2,190,1900,0.0136683410544,99.5123913092,1.52609241111,9.05,1,1,1,1,1,20260917,setup_sweep
40,1,2,195,1950,0.0138094136013,99.4230522926,1.52646961786,9.025,1,1,1,1,1,20260917,setup_sweep
41,1,2,200,2000,0.0139505011595,99.3352147306,1.52683170617,9,1,1,1,1,1,20260917,setup_sweep
42,1,2,205,2050,0.0140941833283,99.2531459864,1.53087174251,8.975,1,1,1,1,1,20260917,setup_sweep
43,1,2,210,2100,0.0142884879922,99.256215299,1.49248264593,8.95,1,1,1,1,1,20260917,setup_sweep
44,1,2,215,2150,0.0145277358382,99.3334218456,1.48172034739,8.925,1,1,1,1,1,20260917,setup_sweep
45,1,2,220,2200,0.0147834325188,99.4365591317,1.46648816771,8.9,1,1,1,1,1,20260917,setup_sweep
46,1,2,225,2250,0.0150642557201,99.5795110412,1.45466797946,8.875,1,1,1,1,1,20260917,setup_sweep
47,1,2,230,2300,0.015365866277,99.754450456,1.44495740595,8.85,1,1,1,1,1,20260917,setup_sweep
48,1,2,235,2350,0.0156849891543,99.955437345,1.43666568719,8.825,1,1,1,1,1,20260917,setup_sweep
49,1,2,240,2400,0.0160190393186,100.17776975,1.4293805524,8.8,1,1,1,1,1,20260917,setup_sweep
50,1,2,245,2450,0.016365918435,100.417627531,1.42283616689,8.775,1,1,1,1,1,20260917,setup_sweep
51,1,2,250,2500,0.0167238905578,100.671852449,1.41685152455,8.75,1,1,1,1,1,20260917,setup_sweep
52,1,2,255,2550,0.01709149979,100.937801196,1.41129833367,8.725,1,1,1,1,1,20260917,setup_sweep
53,1,2,260,2600,0.0174675125456,101.213241494,1.40608285796,8.7,1,1,1,1,1,20260917,setup_sweep
54,1,2,265,2650,0.0178849622975,101.552705979,1.38731117085,8.675,1,1,1,1,1,20260917,setup_sweep
55,1,2,270,2700,0.0183245453791,101.923158094,1.38637810748,8.65,1,1,1,1,1,20260917,setup_sweep
56,1,2,275,2750,0.0188231028425,102.383973749,1.41569076123,8.625,1,1,1,1,1,20260917,setup_sweep
57,1,2,280,2800,0.0191294766982,102.520389428,1.41431249978,8.6,1,1,1,1,1,20260917,setup_sweep
