scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error,circuit_id
1,Dry,101325,288.15,0.960749114247,4.60698150716,1.08119687732,1.01478310675,0.980891602626,0.00163301043812,38.7358685485,38.0792371739,-0.656631374646,True,,2
2,Dry,101325,288.15,0.975380259357,-0.431293900288,0.214228045758,0.984946025959,0.989117670647,0.0012304151776,39.1511266936,38.9595880945,-0.191538599132,True,,2
3,Dry,101325,288.15,1.012496838,-2.26237658544,1.34517409793,1.02416258856,0.988931879842,-0.00170847645046,38.8368373023,38.6124470458,-0.224390256506,True,,2
4,Dry,101325,288.15,1.01069739998,3.22134050474,-1.7987198146,1.02662240986,0.987695548646,0.00139189469973,38.2095780969,37.5693388861,-0.640239210745,True,,2
5,Dry,101325,288.15,1.03262816175,4.14288555789,1.42973553729,1.02025149798,1.01764794373,0.000125450265085,37.7015877819,37.1457333225,-0.555854459363,True,,2
6,Dry,101325,288.15,0.959683023403,0.228143165167,-0.680147507752,1.03423416944,1.00976925331,-0.00132175319452,39.2053054095,38.8412864133,-0.364018996265,True,,2
7,Dry,101325,288.15,0.965410409955,1.38027409628,-1.16498502458,1.04346869101,1.01931756311,-0.00178267799207,38.8933576457,38.4458052875,-0.447552358184,True,,2
8,Dry,101325,288.15,0.978802073643,2.35988112156,-1.20557394607,0.999930767545,1.0105224112,-0.00122965893195,38.6610674511,38.1603456418,-0.500721809352,True,,2
9,Dry,101325,288.15,0.97426477976,-1.52887255007,0.404329375174,1.03638901127,1.00074220362,0.000405924254261,39.2391871652,38.9441618469,-0.295025318289,True,,2
10,Dry,101325,288.15,0.962901631782,4.24235453098,0.336324509033,0.960598596938,1.00589443541,0.000134530894448,38.737088364,38.2271062081,-0.509982155851,True,,2
11,Dry,101325,288.15,1.01003587708,-3.98751993929,0.428784372758,0.992383419856,1.01142511497,-0.00186158862815,39.0221504794,39.1046085062,0.0824580268745,True,,2
12,Dry,101325,288.15,1.03892138953,-1.6273462249,0.962440963099,1.00777258527,0.988212420581,0.000203938749472,38.4122638403,37.9220705837,-0.490193256588,True,,2
13,Dry,101325,288.15,0.984672922661,-0.167283723978,0.0496854967175,0.971072736523,1.01683758007,0.00177679548996,39.0121953515,38.6704014453,-0.34179390615,True,,2
14,Dry,101325,288.15,1.04452791904,4.89617417553,-1.18274626918,0.968751816175,0.985101856148,0.00178177611068,37.6867127065,37.0378651658,-0.648847540684,True,,2
15,Dry,101325,288.15,1.00506386913,-0.0112694456236,-0.297577936202,1.01616997236,1.00807792062,-0.00135475553548,38.5458189304,38.1234639694,-0.422354960967,True,,2
16,Dry,101325,288.15,0.969543892708,-3.9300570096,-0.277852428923,1.04926985574,1.00147107132,0.00123477575231,39.5980436991,39.5327949611,-0.0652487380556,True,,2
17,Dry,101325,288.15,0.969726787119,0.0502391492386,-1.97005909578,0.988347824584,1.00686594825,0.000593815840827,39.1748803353,38.8515740654,-0.323306269914,True,,2
18,Dry,101325,288.15,1.00087477785,-0.0565440241696,-0.610739321147,1.01355828928,0.98635681027,0.00139045681518,38.7708318334,38.1981295266,-0.572702306864,True,,2
19,Dry,101325,288.15,0.984727111788,-0.410327946131,-0.954856398808,1.00357935737,1.01232115482,0.000533270168771,38.9983048857,38.5125542845,-0.485750601267,True,,2
20,Dry,101325,288.15,0.976736573735,-4.65719050638,1.40142096834,0.973705193877,1.00148644854,-0.000193960360358,40.1175457185,40.2442105791,0.126664860601,True,,2
21,Dry,101325,288.15,0.978978448857,3.72475339752,0.675481337088,0.950446992848,1.0023952567,-0.000525506724169,38.5792367371,38.1106006464,-0.468636090674,True,,2
22,Dry,101325,288.15,1.03373256064,2.47787329189,1.23175375889,1.00186574742,0.984094568483,0.00104492302517,38.0072739557,37.4066907584,-0.600583197293,True,,2
23,Dry,101325,288.15,0.97741493295,3.67881318859,-1.33501153334,1.0242394048,1.01315552475,0.00138975020315,38.5676017515,37.9042748914,-0.663326860098,True,,2
24,Dry,101325,288.15,0.994620194499,-4.72771633731,-1.57911370524,1.01558612683,1.00059908832,0.00156791768017,39.4974048701,39.4595168903,-0.0378879798437,True,,2
25,Dry,101325,288.15,1.00830373153,-1.27386941842,0.228750371133,1.03202706233,0.987775893348,-0.00105315456629,38.7493842831,38.2954726959,-0.453911587214,True,,2
26,Dry,101325,288.15,1.04344907434,0.809405679015,-0.199489665693,0.952992698593,1.01356556179,-0.00125198078007,38.0452706875,37.5338401949,-0.511430492668,True,,2
27,Dry,101325,288.15,0.974297611763,-1.01942162898,-1.39561830707,0.956859593683,1.01862762756,-0.000529939709291,39.2206750842,39.2165323825,-0.00414270165812,True,,2
28,Dry,101325,288.15,1.01239148239,0.766664229275,1.05850651573,1.01674453817,1.01482638883,-0.00178113816744,38.3623253471,37.8475203253,-0.514805021826,True,,2
29,Dry,101325,288.15,0.998994972638,2.83743536201,1.85826579325,1.03562454206,1.00995116692,0.0013519096002,38.3689001621,37.7189746298,-0.64992553232,True,,2
30,Dry,101325,288.15,1.01368827928,-1.03178210199,-1.16445651223,1.04844695927,0.990937778404,0.00197527643705,38.6000906895,38.0972142455,-0.502876443961,True,,2
31,Dry,101325,288.15,1.0131328444,-2.91224160277,-1.94913622437,0.955920795665,0.996043688324,0.000670963847064,39.0591655268,39.0435919511,-0.0155735756582,True,,2
32,Dry,101325,288.15,0.974227670943,4.61257127586,-0.302586084237,1.03849964056,0.98789651403,7.28103052792e-05,38.4171170367,37.8580868193,-0.559030217348,True,,2
33,Dry,101325,288.15,1.04187867447,-2.74628342646,1.53967231188,1.01175836031,1.00043584425,0.000243545689105,38.5427635677,38.0300761378,-0.512687429836,True,,2
34,Dry,101325,288.15,0.964493752804,3.96080931657,-1.634753137,1.00184068048,0.984456406958,0.000165217923161,38.7385715228,38.2220712043,-0.516500318463,True,,2
35,Dry,101325,288.15,0.989988604629,-4.38827382851,-0.43319593284,1.01925549414,1.01833586665,0.00144378786256,39.3664607868,39.2901210095,-0.076339777287,True,,2
36,Dry,101325,288.15,1.0182395051,2.22444553751,0.508972246842,0.988310054439,1.00632359672,0.000331061789449,38.1953515357,37.6158019417,-0.579549594042,True,,2
37,Dry,101325,288.15,1.00981957093,-1.64730206581,-1.06956280151,1.02677315807,1.01763857432,-0.000650175851291,38.7148693606,38.2452823816,-0.469586979036,True,,2
38,Dry,101325,288.15,1.01751857957,-4.18813990006,1.96013512044,1.04742357119,0.980617368636,-0.00154478541661,38.9611657629,38.8502824285,-0.110883334477,True,,2
39,Dry,101325,288.15,1.03031784136,3.02159297468,1.5793037922,1.01023653842,0.989844803043,0.000149893590969,37.9707516456,37.3789344352,-0.591817210368,True,,2
40,Dry,101325,288.15,0.988229198855,3.72821173615,-1.66497858107,0.95550786988,0.989437974466,-1.79759190075e-06,38.4862660086,37.9589445254,-0.52732148319,True,,2
41,Dry,101325,288.15,1.01317556095,-1.46523858489,1.84184376782,1.04624594326,1.00794839917,-0.00157068196414,38.5942130571,38.1925005775,-0.401712479651,True,,2
42,Dry,101325,288.15,1.00345677755,-2.92189580388,-1.08218811811,1.03196279139,1.0096075826,-0.00179161894633,39.0022311651,38.7762803595,-0.225950805617,True,,2
43,Dry,101325,288.15,0.956823405173,0.730221893361,1.09557370783,1.02162639928,0.996532288576,0.00111385640137,39.2582987861,38.8483595939,-0.409939192146,True,,2
44,Dry,101325,288.15,0.952742523107,-1.02044906749,-0.611802186631,1.04065248274,0.990460405768,-4.9298121901e-05,39.4651568462,39.264933304,-0.200223542265,True,,2
45,Dry,101325,288.15,0.972696350974,-0.796027585681,-0.0365763060615,1.03688033424,0.992293368987,0.000476599346655,39.1931701653,38.8407711528,-0.352399012572,True,,2
46,Dry,101325,288.15,1.01548865849,-0.116302687012,-1.30759267438,0.968220743947,1.00386659781,0.00130745816659,38.6332996889,38.1076400271,-0.525659661841,True,,2
47,Dry,101325,288.15,1.04114870702,0.838197383867,1.1853884585,1.02237055715,1.0198176556,0.00121951642594,38.0238625792,37.4215117629,-0.602350816276,True,,2
48,Dry,101325,288.15,1.0382523151,-2.698694785,-0.20885645915,0.959525894445,0.990842507596,0.00135574234528,38.6046323378,38.5155279092,-0.0891044285226,True,,2
49,Dry,101325,288.15,1.04630322779,4.91494423967,1.91402113654,1.01473213704,0.989264099792,-0.000674016400065,37.5736854885,36.9660557142,-0.607629774282,True,,2
