table,column,mysql_type,unit,primary_key,foreign_table,nullable,example
dim_car,car_id,BIGINT,dimensionless / identifier / text,True,,False,1
dim_car,car_name,VARCHAR(500),dimensionless / identifier / text,False,,True,Synthetic RWD Single-Seater
dim_car,dry_mass_kg,BIGINT,kg,False,,True,800
dim_car,wheelbase_m,DOUBLE,m,False,,True,3.6
dim_car,track_m,DOUBLE,m,False,,True,1.6
dim_car,cg_height_m,DOUBLE,m,False,,True,0.3
dim_car,front_weight_fraction,DOUBLE,dimensionless / identifier / text,False,,True,0.45
dim_car,area_m2,DOUBLE,dimensionless / identifier / text,False,,True,1.5
dim_car,power_w,BIGINT,W,False,,True,450000
dim_car,efficiency,DOUBLE,dimensionless / identifier / text,False,,True,0.92
dim_car,rolling_coefficient,DOUBLE,dimensionless / identifier / text,False,,True,0.015
dim_car,brake_limit_n,BIGINT,N,False,,True,24000
dim_car,brake_bias,DOUBLE,dimensionless / identifier / text,False,,True,0.58
dim_car,wheel_radius_m,DOUBLE,m,False,,True,0.33
dim_car,final_drive,DOUBLE,dimensionless / identifier / text,False,,True,3.4
dim_car,max_rpm,BIGINT,dimensionless / identifier / text,False,,True,12000
dim_car,torque_nm,BIGINT,dimensionless / identifier / text,False,,True,480
dim_car,axle_heave_stiffness_n_m,BIGINT,m,False,,True,2000000
dim_car,roll_front_fraction,DOUBLE,dimensionless / identifier / text,False,,True,0.48
dim_car,data_source_type,VARCHAR(500),dimensionless / identifier / text,False,,True,synthetic
dim_car,synthetic_flag,BOOLEAN,dimensionless / identifier / text,False,,True,True
dim_car,model_version,VARCHAR(500),dimensionless / identifier / text,False,,True,1.0.0
dim_car,data_version,VARCHAR(500),dimensionless / identifier / text,False,,True,1.0.0
dim_car,generation_timestamp,VARCHAR(500),dimensionless / identifier / text,False,,True,2026-09-16T20:12:09.907988+00:00
dim_car,random_seed,BIGINT,dimensionless / identifier / text,False,,True,42
dim_car,validation_status,VARCHAR(500),dimensionless / identifier / text,False,,True,schema_checked
dim_circuit,circuit_id,BIGINT,dimensionless / identifier / text,True,,False,1
dim_circuit,circuit_name,VARCHAR(500),dimensionless / identifier / text,False,,True,Velocity Park
dim_circuit,length_m,BIGINT,m,False,,True,2940
dim_circuit,data_source_type,VARCHAR(500),dimensionless / identifier / text,False,,True,synthetic
