table_name,python_rows,mysql_rows,matched
dim_car,1.0,1.0,True
dim_circuit,3.0,3.0,True
dim_date,1.0,1.0,True
dim_driver,1.0,1.0,True
dim_sector,9.0,9.0,True
dim_session,3.0,3.0,True
dim_setup,15.0,15.0,True
dim_track_segment,18.0,18.0,True
dim_tyre,3.0,3.0,True
dim_weather,3.0,3.0,True
fact_aero_map,3240.0,3240.0,True
fact_optimization_run,11.0,11.0,True
run_registry,133.0,133.0,True
dim_corner,9.0,9.0,True
fact_drs_event,260.0,260.0,True
fact_lap,0.0,0.0,True
fact_model_validation,1064.0,1064.0,True
fact_optimization_result,746.0,746.0,True
fact_sector,0.0,0.0,True
fact_simulation_lap,133.0,133.0,True
fact_simulation_sector,399.0,399.0,True
fact_simulation_segment,798.0,798.0,True
fact_simulation_warning,0.0,0.0,True
fact_telemetry,0.0,0.0,True
fact_tyre_state,6569.0,6569.0,True
fact_vehicle_state,32424.0,32424.0,True
lap_time_sum_s,5519.9009585604,5519.900958560396,True
